content,value
挺好的，当天就把缺口补了,1
我还没上车呢,0
岩山科技是无人驾驶，人工智能，人脑工程是正宗高科技股，是新的生产力，现仅2元7角,1
【9.18：现在考虑十一持仓问题，早不早？】,0
2024小米回购到昨天，粗略统计有30亿左右的回购。,1
神奇数字，见底可以性90%，拭目以待。,1
2720有支撑啊,1
医药板块逆势大涨！指数二八分化，这个行情还能玩吗？,1
上证指数下周有望突破2900！,1
9月7日尾盘思路续上次双创50大胆的操作后，今天继续来一个操作，金银珠宝全部转入,1
明天开始调整了,0
指数在3100股票还在2500,0
内资是真能卖啊，每天都是几百亿几百亿的卖,0
不要认为月线四连阴了总不会月线五连吧！但我们预判:十二月份及年线收阴是大概率的事,0
高开低走很正常是一种玩法没什么大惊小怪的！,0
#专家建议暂停量化交易！股友们怎么看？#市场应该让散户能赚到钱而不是让散户来交学,1
还不走吗？大盘在阴跌，每天都有新低，别幻想拉升了，能在本月结束不破3000点就已,0
低价股的春天来了吗,1
大A一涨死三天,0
到第一阻力位，不可能一下冲上去的！,0
科技基本结束了,0
有些烂公司上市的目的就是为了圈钱，减持套现已是常态，是么公司发展纯属扯淡，肥了大,0
本轮调整2850点附近。,0
钱没了，指数回来了，还钱,0
死气沉沉的小A,0
哈哈哈哈哈哈！,1
一级生态园[赞]50期货居然涨,1
今天涨三个点不过分吧,1
北向不给力啊,0
热烈祝贺！,1
缺口已补上,1
真搞不懂为什么会把股市这样？？？,0
前期强势股大多数跌5%以上，又是什么情况？,0
广告都在推电力股了,1
华为汽车概念炒起来没完了，大盘还是上不去，今天就是超跌反弹行情而已，看来二次探底,0
圆形顶已经成型，向下调整过程开始了。偶尔反弹一下是为了更好的向下。运行方式很可能,0
144必破,0
多久没上涨超过1个点了？,0
还有什么牌可以打,0
风格切换已验证，周末消息汇总！,1
英伟达大跌了，A股中的“英伟达”概念股怎么样？,0
就怕下午有急速跳水,0
超级大牛市来了,1
今天才500多家跌停，不正常,0
明天站稳3100,1
说实话，这个位置仓位不重也没啥好担心，肯定存在大反弹！,1
一句话，怕个嘚不得惧怕震荡，昨晚就说了3030-3060区间震荡正常，极限302,1
要是明天再来个低开高走,1
2650可期……,0
看你们玩，高开、低开都不会进入,0
换电重卡在提速，宁德发布“骐骥”换电品牌，关注这些产业链,1
又是低开高走的发财日，噢耶,1
其实大家根本没必要这么悲观，很多政策出来都是需要时间去执行的，耐心一点再耐心一点,1
下午暴跌,0
股市的希望到底在哪里？就这么一直跌跌撞撞，大多数时间大多数股票还是在跌！究竟是什,0
501312还有机会,1
大盘一上一下的，个股下去却再也没上来了,0
今天中字头白酒护盘，证券房地产都不敢大跌,1
全靠北向在拉，还有人怪外资吗[微笑][微笑][微笑][摊手][摊手][摊手],1
尾盘拉升，应该是老乡别走啊，你看我都把大盘拉起来了，留下吃个面再走。,0
股市的事，凡是禁止的，往往都是有好处，但不想与你分享的。凡是提倡的，大都是有坑需，需要你去填的。,0
这是牛市途中的小回调，勿慌，一万剩两千的也别慌，最多跌剩250，大宵说的原子底！,1
开门红，红到停不下来[吃瓜],1
2450点有中强支撑，看效果如何！,1
昨天缩量上涨诱多，今天大跌意料之中,0
两市交易仅靠存量资金运作，无须研究什么技术指标寻发财，个人认为重点判研“俄乌”，,0
真的拉不起来,0
今天主力净流入2亿元以上抢筹的13股。,1
大家早上好！今天周四。做股票，节奏踏准了，那一天都是牛市。但又有谁能做到呢？！在,1
2800可能保不住了,0
明天又有大利好,1
果然没有任何投资价值,0
是技术性调整，不要怕,1
今天成交量不到6000,0
抄底3020附近,1
8.15  早评  缩量止跌，反弹随时展开,1
3000点以下可建仓,1
量化开始收割,0
大量新股堆进来大盘涨不动只能下行,0
啥情况？还要不要人活了[哭][哭],0
反弹了，明日将迎来共振，按照技术来看应该是向上，但现在上方全是压力，估计要一步一,1
【欧奈尔每日市场回顾-23/11/20】医疗保健、军工和机器人相关股票领涨大盘,1
今天看好你呦,1
当下转融通应该禁止，杜绝限售股市场流通！！！,1
我猜今天会反弹,1
#胡锡进：诚恳希望各省取消IPO上市计划#他们上市我们阻止不了，但打不打新，买不,1
就是守着3113关口，就是玩,1
今天的套路跟昨天几乎是一样的，证券涨，指数红，证券绿，指数绿，眼看又要不行了，证,0
这个股是什么代码我想买,1
又回到年前那波套人,0
好,1
炒A股的人，上辈子做错啥了，这辈子来惩罚，赎罪,0
"2024第一个字""惨""。",0
近10年5月板块表现，生物科技名列榜首。,1
这力度不够啊！如果连昨天的三分之一都不到，那还得跌下去。,0
谁又敢做空？,1
我都说了，这次足拨韭菜,0
目前科技升级、消费升级所带来的上市公司业绩增长外，跟踪和关注资源股的定价和估值的,1
别涨，快跌大跌,0
过山车啊，我要下车[哭],0
无论啥时进，都套你,0
成交量都没有，哪来的底？,0
122家跌停了，真牛逼,0
七连跌[憨笑][憨笑][憨笑],0
大盘一身反骨,0
今天怎么了啊，跌那么惨,0
伤害性极大，侮辱性极强,0
调整到60日均线,0
邪门的市场！还是远离为妙。,0
买进301113,1
马上到底3100点反弹,1
东方财富买，买,1
后面4天可以安心下跌了,0
#你会溢价20%买入海外ETF吗？#会50%都买,1
大盘周线，5分钟走势都是下跌趋势，电力，芯片股2天就完事套人了，还能买谁不赔钱就,0
年中拉白酒的行情，看都别看,0
本来是红的，一会儿就绿了，草,0
今天又是4000跌吗？跌着跌着大家都接受了，好像也不是什么稀奇的事了哈,0
人家是继续回调创新高，我们是继续回调探新低。,0
不破不立！,1
看空期权暴涨,0
不要以为三千点就有保卫战，你想多了，远未见底，只适量打一下游击作愉乐吧。,0
军工悄然走强超预期，后势延续可期！,1
不出意外今天又是低开低走,0
涨的时候出来各种得瑟，现在跌了集体装S,0
今天上车的最后一天,1
又3000点卫保战,0
对称三角形被打破，下跌已成趋势。多数不懂形态分析的股民还在看一根k线的涨跌，不知,0
受伤的永远是家人，大盘涨的时候，个股不涨，大盘一跌就一马当先的下,0
高开低走还得绿,0
今天做空又发财了,0
涨得时候多次跳水，跌的时候一去不复返,0
大盘涨了点个股跌完了[笑哭],0
圆弧顶，好圆！[呲牙][呲牙],0
又开始拉银行保险证券了,0
终于不跌了,0
基金重仓股早上这会下砸了1%+，这个还说是散户和游资，外资在砸盘么[大笑][大笑,0
下去吧,0
股民基民不死，不会停,0
谁也没预料到吧，下午很有可能还会反弹上去！,1
还不如不起来，你起来了不赚钱[晕][晕][晕],0
国家跳水队上班，全都有了，预备，，，，，,0
20分钟，跑了100多亿,0
现在还在股市的各位兄弟姐妹快点给仓位打满,1
三季度正式报告翔楼新材主营业务-汽车零部件精冲材料三季度净利润1.37亿，同比增,1
冲啊，3000点站上去。[奸笑]亏麻了啊,1
一花独放不是春,0
周一还要杀一波,0
市场提振动力有限，反弹仍将面临波折？,0
今天证券股的走势，让我想起了YQ爆发那年农业股的走法,1
又被砸回来了。。。。。。,0
2900附近招手,0
当升科技：成功入选国务院国资委“创建世界一流专精特新示范企业”、再获得创业板上市,1
熟悉的配方[大哭][大哭],0
1，市场缺资金，无流动性注入，存量资金会越来越少，指数越跌市场就越无信心！中长线,0
一天破2个新低,0
挺住，我来补仓了,1
今天还有几百家跌停,0
本以为机会来了，谁知道是掩护主力撤退了，尴尬了,0
牛来了，大涨0.2%,1
上班时间却不开盘，真难熬，好像有蚂蚁在爬，还耽误我回本,0
#李蓓：人民币和A股或入牛市#两个或字，等于自言自语！,1
牛要回头怎么办,1
成交量太少了，一群穷鬼,0
北向在这么下去都失去市场信心了,0
祝福破2900了,0
可不可以降低做空门槛,0
听说牛市了，现在进场还来得及吗？,1
还是熟悉的配方，,0
利好不断，加仓加仓加仓,1
会到2500点吗？,0
见顶了，年内高点已经确立,0
这下好了，不知道要放几年了。,0
刚刚知道重大利空，接下来大盘如何演绎，现在本导告诉你,0
为什么我大部分股红重仓的白马跌,0
一天回到解放前,0
有谁知道这是大A第多少次3000点保卫战了？,0
收盘大涨1个点,1
今天比谁跑得快[大笑][大笑][大笑],0
还是那些亮化的天下,0
指数可能红了，但是看看个股，动不动就修炼九阴真经……,0
选择大于努力。当初为何非要入这个坑,0
单调东方财富，13.27啥时候回本,0
快跟着北向跑路！要相信聪明的资金！,0
3400为本年度高点，今年比去年更差，这是大家都不愿听的话,0
就跌了18个点都有四千多家下跌，这个市场到底是怎么了？,0
北上不买，看看是不是5000支下跌，和上周五一样，上周是北上单骑救主。元旦前是机,0
英伟达之后又出来一个Meta!涨的更凶悍！,1
开始大跳水了,0
破2750在考虑买入,0
年底了，大股东坚持猛。机构顺势做空。基金被赎回砍仓。还要加速下跌。,0
半小时左右量化猛砸盘,0
这些年让股民死心的祸根就是券商，所有规则瞎搞就是这帮人搞得，拉高券商能会恢复投资信心那是鬼扯。祭杀券商才能恢复广大股民信心!,0
可入手了，随时拔起！,1
笑死，这总体行情,0
今天又是全军覆没,0
一上午就跑了300亿,0
中国的股票雄起。,1
今天大盘再创新高！,1
外围唱空没得用，今天又要上涨了[大笑][大笑][大笑],1
满仓空单等暴跌[让我看看],0
两点半准时拉升！攻破3100,1
机构开始砸盘[赞][赞][赞],0
把3058.99冲破，后有望上涨。,1
老乡别走。哈哈哈哈,0
重大利好政策下，外资和主力机构依然在做空！神秘资金悄悄入场，彻底打暴空头！,1
小盘股又飞天了，指数没啥参考性，干[上涨][上涨][上涨],1
看空下周行情。4月底我收益率达50%，侥幸心理让我收益缩水最高时达2/3。现在收,0
今天如果还亏钱，就可以默默的离开了[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸,1
取消量化，建全退市赔偿机制！#专家建议暂停量化交易！股友们怎么看？#,1
投了170万，今天卖完了，还有16万，哎，退出了，明天销户了，发誓再也不买股票咯,0
看看今天能不能跌100点破了3000点。,0
目前的市场，我觉得乏味。下周不跌出翔，都不想补仓和看市场。指数就是3084要稳住,0
明天创新低。,0
股市是时间的游戏,1
太优秀了，4800家下跌，闪耀全球，鼓掌！,0
上半年基本没有行情，观望等待,0
周末万众瞩目，高呼牛市来了，牛市没来，5头牛快没了,0
美股集体上涨，反转出现了？这次是机会，还是风险？,1
时下股市犹如黎明前的黑暗，严寒过后是春天[上涨][上涨][上涨][上涨][上涨],1
比亚迪超额完成302.44万辆新能源车销量，但我要泼一盆冷水，2024年比亚迪的销量不乐观！,0
加油2700等你,0
年前到2440点,0
在产品品质方面，延续君道贵酿一贯采用的坤沙酒酒质，经由大师级的勾调技艺，突出酱酒,1
五穷六绝七翻车,0
汇率在涨，大A在跌，什么逻辑？,0
才星期二就跌成这熊样？,0
破2700怎么说[呲牙][呲牙][呲牙],0
终于红了,1
跳吧,0
不能买的小盘股谁弄上市的？,0
今天是散户收割庄家,1
节前清仓3100以下陆续接回[微笑],1
量化不死a股不宁。,0
"保完2800,过几天我们再来保2700",0
今天是七夕节，所以股市会跌这么凶，这就叫做：爱的死去活来。,0
3000点也是遥不可及了[滴汗],0
盯盘要有盯盘的价值，今天涨得好的都是中小盘，超跌下午地产开始发力，带动市场翻红但,1
难得一个中阳，冲高卖了，明天提现，节后消户，完美的三天曲。,1
酝酿下午的跳水,0
机构主力才是做空第一动力！,0
主力20分钟已跑100多亿，还敢买？,0
把外资全部踢出去就好了！,0
乏力、缩量......,0
一上午就9000亿,1
这么刺激,1
销户才是归宿,0
大自然的颜色,0
内资每天几百亿流出可能涨吗,0
指数下周继续跌，预计还明年下半年见底了,0
主力依然在跑，今天绝对收绿盘,0
上证才跌一个点不多呀！,0
千万要守住3250点,1
只能做短线的市场,0
2024年5月20日连板数据,1
把美债卖了加仓a股可以吗？,1
一直做多中国,1
